,event,article number,death
147,flood-mozambique-2020-02-11,1,2
148,flood-yemen-2020-03-25,1,2
149,flood-namibia-2020-03-06,1,19
150,landslide-ethiopia-2020-05-28,1,10
151,earthquake-papua new guinea-2020-04-25,1,N/A
152,flood-iraq-2020-03-18,1,8
153,flood-indonesia-2020-04-04,1,4
154,flood-indonesia-2020-02-13,1,6
155,flood-burkina faso-2020-04-19,0,19
156,flood-indonesia-2020-03-20,0,19
157,storm-burundi-2020-03-16,0,2
158,earthquake-solomon islands-2020-01-29,0,N/A
159,flood-democratic republic of the congo-2020-05-05,0,19
160,flood-peru-2020-01-23,0,19
161,flood-peru-2020-03-28,0,19
162,earthquake-papua new guinea-2020-05-07,0,N/A
163,flood-honduras-2020-02-28,0,3
164,flood-angola-2020-03-16,0,3
165,flood-burundi-2020-01-28,0,3
166,flood-angola-2020-04-18,0,30
167,flood-congo-2020-03-30,0,20
168,flood-bolivia-2020-02-13,0,8
169,flood-papua new guinea-2020-02-05,0,7
170,storm-mongolia-2020-01-xx,0,19
171,flood-democratic republic of the congo-2020-03-17,0,19
172,flood-argentina-2020-02-11,0,3
173,storm-argentina-2020-01-15,0,19
174,flood-indonesia-2020-03-04,0,2
175,earthquake-tonga-2020-05-28,0,N/A
176,flood-madagaskar-2020-01-01,0,40
177,flood-peru-2020-02-17,0,15
178,flood-indonesia-2020-05-08,0,7
179,flood-djibouti-2020-04-20,0,8
180,flood-burundi-2020-04-13,0,19
181,earthquake-solomon islands-2020-05-12,0,N/A
182,flood-papua new guinea-2020-03-21,0,12
183,flood-chad-2020-04-20,0,19
184,flood-ecuador-2020-02-22,0,19
185,flood-guatemala-2020-05-09,0,3
186,landslide-papua new guinea-2020-04-10,0,10
187,flood-united republic of tanzania-2020-03-10,0,19
