,event country,reporting country,Death num,Neighbor,Asia,Europe,Africa,Oceania,North America,South America,Antarctica,Continent sim,GDP(high),GDP(low-low),GDP(high-high),GDP(low-high),GDP(high-low),Gini Index(high),Gini Index(low-low),Gini Index(high-high),Gini Index(low-high),Gini Index(high-low),Democracy index(high),Democracy index(low-low),Democracy index(high-high),Democracy index(low-high),Democracy index(high-low),Diplomatic Relation,Investment,Trade,Immigration,Same language
90,TCD,ESP,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.0,7118999.0,0.0,0
91,CHL,ARG,0.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,6.0,599.633209934822,3508123306.0,0.0,0
92,CHL,COL,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,6.0,34.7787568421006,1358440233.0,0.0,0
93,CHL,MEX,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,6.0,155.137989533657,3666651182.0,0.0,0
94,CHL,ESP,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,6.0,819.086800047959,2666042186.0,0.0,0
95,CHN,ARG,2.3025850929940455,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,6.0,109.060919017772,0.0,0.0,0
96,CHN,COL,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,6.0,26.6539188761521,0.0,0.0,0
97,CHN,MEX,1.8173820666020837,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,6.0,436.001454376744,0.0,0.0,0
98,CHN,ESP,2.3929955948062123,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,6.0,5119.13010627666,0.0,0.0,0
99,COL,ARG,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,4.0,68.9408379290086,797755174.0,0.0,1
100,COL,MEX,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,6.0,179.286380136798,4741114142.0,0.0,1
