,event,article number,death
152,attack-2020-01-30-democratic republic of the congo,39,11
153,attack-2020-04-09-syria,38,29
154,attack-2020-04-11-yemen,36,38
155,attack-2020-02-02-somalia,35,18
156,attack-2020-05-31-yemen,35,30
157,attack-2020-02-04-maldives,34,0
158,attack-2020-04-10-italy,33,0
159,attack-2020-04-12-ireland,32,0
160,attack-2020-04-25-yemen,32,16
161,attack-2020-03-19-mali,32,29
162,attack-2020-03-08-burkina faso,32,21
163,attack-2020-04-05-cameroon,31,9
164,attack-2020-05-19-niger,30,19
165,attack-2020-04-22-ireland,30,0
166,attack-2020-03-04-cyprus,29,0
167,attack-2020-02-28-bangladesh,29,0
168,attack-2020-02-19-somalia,28,33
169,attack-2020-03-02-sudan,28,N/A
170,attack-2020-02-05-brazil,28,1
171,attack-2020-05-31-china,27,0
172,attack-2020-04-24-mexico,27,2
173,attack-2020-02-21-ethiopia,27,1
174,attack-2020-05-20-yemen,26,18
175,attack-2020-04-13-russian federation,26,0
176,attack-2020-02-09-egypt,26,11
177,attack-2020-02-09-algeria,25,2
178,attack-2020-02-01-burkina faso,25,18
179,attack-2020-03-18-yemen,25,38
180,attack-2020-05-13-brazil,25,1
181,attack-2020-04-08-turkey,24,5
182,attack-2020-04-10-democratic republic of the congo,24,11
183,attack-2020-05-28-mozambique,24,97
184,attack-2020-05-02-russian federation,24,0
185,attack-2020-04-28-brazil,23,0
186,attack-2020-02-17-colombia,23,7
187,attack-2020-01-16-malaysia,23,1
188,attack-2020-05-29-myanmar,22,4
189,attack-2020-05-11-burkina faso,21,28
190,attack-2020-04-11-cyprus,19,0
191,attack-2020-01-07-myanmar,19,4
192,attack-2020-01-09-kyrgyzstan,18,0
193,attack-2020-03-06-uganda,18,20
194,attack-2020-03-30-indonesia,18,1
195,attack-2020-04-27-cyprus,18,0
196,attack-2020-02-10-burkina faso,18,11
197,attack-2020-03-06-thailand,17,1
198,attack-2020-05-24-sudan,17,N/A
199,attack-2020-02-29-yemen,17,54
200,attack-2020-04-15-indonesia,17,2
201,attack-2020-05-18-bangladesh,16,0
202,attack-2020-02-07-burkina faso,16,11
203,attack-2020-03-14-yemen,16,11
204,attack-2020-02-28-democratic republic of the congo,16,24
205,attack-2020-03-25-somalia,16,17
206,attack-2020-01-02-ethiopia,15,1
207,attack-2020-04-12-democratic republic of the congo,15,20
208,attack-2020-01-16-venezuela,15,8
209,attack-2020-02-29-lebanon,15,1
210,attack-2020-05-17-egypt,15,12
211,attack-2020-04-13-sudan,14,4
212,attack-2020-05-23-burkina faso,13,13
213,attack-2020-03-07-venezuela,13,0
214,attack-2020-01-01-ghana,13,1
215,attack-2020-02-07-democratic republic of the congo,12,20
216,attack-2020-03-15-niger,12,50
217,attack-2020-05-02-democratic republic of the congo,11,12
218,attack-2020-02-19-chad,11,43
219,attack-2020-01-30-france,11,1
220,attack-2020-05-18-greece,11,0
221,attack-2020-03-22-lebanon,11,1
222,attack-2020-03-21-russian federation,10,1
223,attack-2020-04-30-bangladesh,10,1
224,attack-2020-03-11-central african republic,10,40
225,attack-2020-02-16-central african republic,10,12
226,attack-2020-03-28-cameroon,9,12
227,attack-2020-04-07-mozambique,9,19
228,attack-2020-04-03-colombia,9,4
229,attack-2020-05-25-netherlands,8,0
230,attack-2020-04-28-mali,8,12
231,attack-2020-05-02-turkey,7,2
232,attack-2020-04-18-belgium,7,0
233,attack-2020-04-29-colombia,7,4
234,attack-2020-02-03-democratic republic of the congo,7,11
235,attack-2020-05-23-poland,7,0
236,attack-2020-05-04-netherlands,7,0
237,attack-2020-03-08-thailand,6,1
238,attack-2020-02-20-norway,6,0
239,attack-2020-04-30-central african republic,6,25
240,attack-2020-02-26-sweden,6,0
241,attack-2020-04-11-mozambique,6,30
242,attack-2020-03-12-libya,5,2
243,attack-2020-03-29-mali,5,12
244,attack-2020-05-25-poland,5,0
245,attack-2020-04-15-maldives,5,0
246,attack-2020-03-10-mozambique,5,11
247,attack-2020-03-26-kazakhstan,5,0
248,attack-2020-05-10-burundi,5,0
249,attack-2020-05-27-greece,4,0
250,attack-2020-01-17-burkina faso,4,20
251,attack-2020-02-12-sudan,4,N/A
252,attack-2020-04-10-mozambique,4,64
253,attack-2020-05-19-chile,4,0
254,attack-2020-01-30-chad,4,24
255,attack-2020-04-21-mali,3,12
256,attack-2020-03-28-ecuador,3,0
257,attack-2020-05-31-ecuador,3,0
258,attack-2020-04-01-burkina faso,3,16
259,attack-2020-03-11-nepal,3,0
260,attack-2020-05-23-indonesia,2,1
261,attack-2020-04-05-portugal,2,0
262,attack-2020-03-28-burkina faso,2,16
263,attack-2020-03-25-ethiopia,2,1
264,attack-2020-03-12-honduras,2,1
265,attack-2020-04-19-tunisia,2,0
266,attack-2020-05-18-kazakhstan,1,0
267,attack-2020-02-08-ecuador,1,0
268,attack-2020-03-19-norway,1,0
269,attack-2020-02-24-sweden,1,0
270,attack-2020-01-09-kosovo,1,0
271,attack-2020-03-04-nepal,1,0
272,attack-2020-04-19-finland,0,0
273,attack-2020-02-10-nicaragua,0,0
274,attack-2020-02-17-nicaragua,0,1
275,attack-2020-03-28-burundi,0,13
276,attack-2020-03-08-algeria,0,2
277,attack-2020-05-13-chile,0,0
278,attack-2020-01-17-peru,0,0
279,attack-2020-03-16-burundi,0,1
280,attack-2020-02-12-paraguay,0,1
