,event,article number,death
148,flood-pakistan-2020-03-04,0,66
149,landslide-ethiopia-2020-05-28,0,10
150,earthquake-vanuatu-2020-03-18,0,N/A
151,earthquake-papua new guinea-2020-04-25,0,N/A
152,storm-thailand-2020-04-29,0,2
153,storm-cuba-2020-05-25,0,19
154,flood-peru-2020-02-17,0,15
155,flood-indonesia-2020-05-08,0,7
156,flood-republic of south africa-2020-02-07,0,3
157,flood-indonesia-2020-02-11,0,19
158,flood-indonesia-2020-01-14,0,19
159,flood-djibouti-2020-04-20,0,8
160,flood-burundi-2020-04-13,0,19
161,flood-brazil-2020-02-09,0,5
162,flood-iraq-2020-03-18,0,8
163,flood-indonesia-2020-04-04,0,4
164,earthquake-solomon islands-2020-05-12,0,N/A
165,flood-united states-2020-02-10,0,N/A
166,flood-indonesia-2020-02-13,0,6
167,flood-rwanda-2020-03-02,0,3
168,earthquake-philippines-2020-03-26,0,N/A
169,flood-ethiopia-2020-04-20,0,12
170,flood-papua new guinea-2020-03-21,0,12
171,earthquake-united states-2020-03-31,0,N/A
172,flood-somalia-2020-04-20,0,26
173,earthquake-indonesia-2020-02-26,0,N/A
174,flood-chad-2020-04-20,0,19
175,flood-ecuador-2020-02-22,0,19
176,storm-vietnam-2020-03-02,0,5
177,flood-guatemala-2020-05-09,0,3
178,earthquake-peru-2020-05-31,0,N/A
179,avalanche-afghanistan-2020-02-13,0,22
180,flood-afghanistan-2020-05-02,0,4
181,storm-tuvalu-2020-01-18,0,19
182,earthquake-united states-2020-01-26,0,N/A
183,landslide-papua new guinea-2020-04-10,0,10
184,flood-rwanda-2020-02-02,0,19
185,wildfire-china-2020-03-30,0,19
186,flood-united republic of tanzania-2020-03-10,0,19
187,storm-afghanistan-2020-01-12,0,13
