,event,article number,death
147,flood-tajikistan-2020-05-14,0,2
148,flood-china-2020-05-21,0,280
149,storm-mongolia-2020-01-xx,0,19
150,flood-united republic of tanzania-2020-04-22,0,2
151,earthquake-new zealand-2020-03-14,0,N/A
152,flood-democratic republic of the congo-2020-03-17,0,19
153,flood-yemen-2020-03-25,0,2
154,flood-rwanda-2020-04-17,0,72
155,flood-iran-2020-02-24,0,21
156,storm-china-2020-05-01,0,20
157,flood-namibia-2020-03-06,0,19
158,flood-afghanistan-2020-04-13,0,5
159,flood-indonesia-2020-03-04,0,2
160,storm-oman-2020-05-27,0,N/A
161,earthquake-tonga-2020-05-28,0,N/A
162,flood-india-2020-05-10,0,29
163,landslide-ethiopia-2020-05-28,0,10
164,storm-thailand-2020-04-29,0,2
165,flood-uganda-2020-05-21,0,11
166,flood-indonesia-2020-05-08,0,7
167,flood-republic of south africa-2020-02-07,0,3
168,flood-indonesia-2020-02-11,0,19
169,flood-djibouti-2020-04-20,0,8
170,flood-burundi-2020-04-13,0,19
171,flood-indonesia-2020-04-04,0,4
172,earthquake-solomon islands-2020-05-12,0,N/A
173,flood-indonesia-2020-02-13,0,6
174,flood-rwanda-2020-03-02,0,3
175,flood-ethiopia-2020-04-20,0,12
176,flood-papua new guinea-2020-03-21,0,12
177,flood-somalia-2020-04-20,0,26
178,flood-chad-2020-04-20,0,19
179,storm-vietnam-2020-03-02,0,5
180,avalanche-afghanistan-2020-02-13,0,22
181,flood-afghanistan-2020-05-02,0,4
182,flood-kazakhstan-2020-05-01,0,19
183,storm-tuvalu-2020-01-18,0,19
184,landslide-papua new guinea-2020-04-10,0,10
185,flood-rwanda-2020-02-02,0,19
186,flood-united republic of tanzania-2020-03-10,0,19
187,storm-afghanistan-2020-01-12,0,13
